Date_Time,Serial#,Wavelength[nm],Power[W],Temperature_1[C],Temperature_2[C]
2021-11-03 18:46:05,dmged,375,2.54427014e-05,83.25,29.0
2021-11-03 18:46:55,dmged,375,2.54872612e-05,82.25,29.5
2021-11-03 18:47:45,dmged,375,2.54575571e-05,81.5,29.5
2021-11-03 18:48:35,dmged,375,2.54315619e-05,80.75,28.75
2021-11-03 18:49:26,dmged,375,2.55206814e-05,79.75,29.5
2021-11-03 18:50:16,dmged,375,2.55986597e-05,79.0,29.5
2021-11-03 18:51:06,dmged,375,2.55243958e-05,83.5,29.5
2021-11-03 18:51:56,dmged,375,2.55243958e-05,83.5,29.25
2021-11-03 18:52:46,dmged,375,2.54204224e-05,82.5,29.75
2021-11-03 18:53:36,dmged,375,2.54872612e-05,81.5,29.75
2021-11-03 18:54:26,dmged,375,2.55132563e-05,80.5,29.0
2021-11-03 18:55:16,dmged,375,2.54501301e-05,79.75,29.25
2021-11-03 18:56:06,dmged,375,2.55578161e-05,79.25,29.75
2021-11-03 18:56:56,dmged,375,2.54092829e-05,82.0,29.75
2021-11-03 18:57:46,dmged,375,2.56060885e-05,83.5,29.75
2021-11-03 18:58:36,dmged,375,2.56617877e-05,82.5,30.0
2021-11-03 18:59:26,dmged,375,2.54835486e-05,81.75,29.75
2021-11-03 19:00:16,dmged,375,2.54352781e-05,81.0,29.75
2021-11-03 19:01:06,dmged,375,2.54984006e-05,80.0,29.25
2021-11-03 19:01:56,dmged,375,2.5509542e-05,79.25,29.5
2021-11-03 19:02:46,dmged,375,2.56209405e-05,80.5,29.75
2021-11-03 19:03:36,dmged,375,2.55875202e-05,83.5,29.25
2021-11-03 19:04:26,dmged,375,2.54649822e-05,82.75,29.5
2021-11-03 19:05:16,dmged,375,2.54686965e-05,81.75,29.5
2021-11-03 19:06:06,dmged,375,2.54427014e-05,80.75,29.5
2021-11-03 19:06:56,dmged,375,2.55466766e-05,80.25,29.0
2021-11-03 19:07:46,dmged,375,2.55503892e-05,79.25,29.5
2021-11-03 19:08:36,dmged,375,2.54464176e-05,80.75,28.75
2021-11-03 19:09:26,dmged,375,2.53795788e-05,84.0,28.5
2021-11-03 19:10:16,dmged,375,2.53238777e-05,83.0,28.75
2021-11-03 19:11:06,dmged,375,2.55281084e-05,81.75,29.25
2021-11-03 19:11:57,dmged,375,2.53610106e-05,81.0,29.5
2021-11-03 19:12:47,dmged,375,2.55615287e-05,80.25,29.5
2021-11-03 19:13:37,dmged,375,2.55466766e-05,79.25,29.75
2021-11-03 19:14:27,dmged,375,2.55875202e-05,81.5,29.75
2021-11-03 19:15:17,dmged,375,2.54501301e-05,83.5,29.5
2021-11-03 19:16:07,dmged,375,2.54872612e-05,82.75,29.5
2021-11-03 19:16:57,dmged,375,2.55503892e-05,81.75,29.5
2021-11-03 19:17:47,dmged,375,2.55800969e-05,81.0,29.75
2021-11-03 19:18:37,dmged,375,2.55578161e-05,80.25,29.5
2021-11-03 19:19:27,dmged,375,2.55206814e-05,79.25,29.25
2021-11-03 19:20:17,dmged,375,2.54538409e-05,81.0,29.25
2021-11-03 19:21:07,dmged,375,2.54761217e-05,83.5,29.75
2021-11-03 19:21:57,dmged,375,2.55466766e-05,83.0,29.5
2021-11-03 19:22:47,dmged,375,2.54575571e-05,81.75,29.5
2021-11-03 19:23:37,dmged,375,2.53907183e-05,81.0,29.5
2021-11-03 19:24:27,dmged,375,2.56469357e-05,80.0,29.25
2021-11-03 19:25:17,dmged,375,2.54538409e-05,79.25,28.75
2021-11-03 19:26:07,dmged,375,2.56135154e-05,80.5,29.25
2021-11-03 19:26:57,dmged,375,2.56060885e-05,83.75,29.25
2021-11-03 19:27:47,dmged,375,2.55355371e-05,82.75,29.5
2021-11-03 19:28:37,dmged,375,2.55503892e-05,81.75,29.0
2021-11-03 19:29:27,dmged,375,2.56135154e-05,80.75,29.25
2021-11-03 19:30:17,dmged,375,2.55429604e-05,80.0,28.75
2021-11-03 19:31:07,dmged,375,2.54835486e-05,79.25,29.25
2021-11-03 19:31:57,dmged,375,2.55652412e-05,81.0,29.5
2021-11-03 19:32:47,dmged,375,2.5594949e-05,83.25,28.5
2021-11-03 19:33:37,dmged,375,2.5609801e-05,82.5,29.0
2021-11-03 19:34:27,dmged,375,2.56989188e-05,81.5,29.25
2021-11-03 19:35:17,dmged,375,2.57286265e-05,80.75,29.5
2021-11-03 19:36:07,dmged,375,2.57434785e-05,80.0,29.25
2021-11-03 19:36:57,dmged,375,2.55318209e-05,79.25,29.25
2021-11-03 19:37:47,dmged,375,2.58920136e-05,82.5,29.25
2021-11-03 19:38:38,dmged,375,2.56543608e-05,83.5,28.75
2021-11-03 19:39:28,dmged,375,2.5680356e-05,82.25,29.0
2021-11-03 19:40:18,dmged,375,2.57249158e-05,81.5,29.5
2021-11-03 19:41:08,dmged,375,2.55540999e-05,80.5,29.25
2021-11-03 19:41:58,dmged,375,2.56877793e-05,79.75,29.0
2021-11-03 19:42:48,dmged,375,2.56692147e-05,79.5,29.25
2021-11-03 19:43:38,dmged,375,2.54798379e-05,83.0,29.5
2021-11-03 19:44:28,dmged,375,2.55800969e-05,83.5,29.25
2021-11-03 19:45:18,dmged,375,2.54984006e-05,82.25,29.0
2021-11-03 19:46:08,dmged,375,2.56395069e-05,81.5,29.25
2021-11-03 19:46:58,dmged,375,2.55318209e-05,80.75,29.5
2021-11-03 19:47:48,dmged,375,2.57620468e-05,79.75,29.0
2021-11-03 19:48:38,dmged,375,2.57768988e-05,79.5,28.75
2021-11-03 19:49:28,dmged,375,2.57843258e-05,83.5,29.0
2021-11-03 19:50:18,dmged,375,2.56135154e-05,83.0,28.75
2021-11-03 19:51:08,dmged,375,2.56840667e-05,82.25,28.75
2021-11-03 19:51:58,dmged,375,2.57509073e-05,81.25,29.25
2021-11-03 19:52:48,dmged,375,2.57509073e-05,80.5,29.25
2021-11-03 19:53:38,dmged,375,2.56729272e-05,79.75,29.25
2021-11-03 19:54:28,dmged,375,2.56023759e-05,79.75,28.75
2021-11-03 19:55:18,dmged,375,2.56283674e-05,83.5,29.0
2021-11-03 19:56:08,dmged,375,2.56135154e-05,83.25,28.75
2021-11-03 19:56:58,dmged,375,2.56469357e-05,82.0,28.75
2021-11-03 19:57:48,dmged,375,2.57843258e-05,81.0,29.25
2021-11-03 19:58:38,dmged,375,2.55503892e-05,80.0,28.75
2021-11-03 19:59:28,dmged,375,2.563208e-05,79.5,29.0
2021-11-03 20:00:18,dmged,375,2.563208e-05,81.5,29.25
2021-11-03 20:01:08,dmged,375,2.56877793e-05,83.5,29.0
2021-11-03 20:01:58,dmged,375,2.57323391e-05,82.75,29.0
2021-11-03 20:02:48,dmged,375,2.57434785e-05,81.75,29.25
2021-11-03 20:03:38,dmged,375,2.57249158e-05,81.0,29.5
2021-11-03 20:04:28,dmged,375,2.5695208e-05,80.0,29.0
2021-11-03 20:05:18,dmged,375,2.56506482e-05,79.25,28.75
2021-11-03 20:06:08,dmged,375,2.55800969e-05,81.0,29.0
2021-11-03 20:06:59,dmged,375,2.56357962e-05,83.75,28.75
2021-11-03 20:07:49,dmged,375,2.55318209e-05,82.5,28.75
2021-11-03 20:08:39,dmged,375,2.57323391e-05,81.75,28.75
2021-11-03 20:09:29,dmged,375,2.56655003e-05,80.75,28.25
2021-11-03 20:10:19,dmged,375,2.55578161e-05,80.0,29.0
2021-11-03 20:11:09,dmged,375,2.56580752e-05,79.25,28.75
2021-11-03 20:11:59,dmged,375,2.5609801e-05,82.0,28.75
2021-11-03 20:12:49,dmged,375,2.58140335e-05,83.75,29.0
2021-11-03 20:13:39,dmged,375,2.56469357e-05,82.5,29.25
2021-11-03 20:14:29,dmged,375,2.5680356e-05,81.75,28.25
2021-11-03 20:15:19,dmged,375,2.57211996e-05,80.75,28.25
2021-11-03 20:16:09,dmged,375,2.56543608e-05,80.25,28.75
2021-11-03 20:16:59,dmged,375,2.56023759e-05,79.25,28.5
2021-11-03 20:17:49,dmged,375,2.56506482e-05,81.75,29.0
2021-11-03 20:18:39,dmged,375,2.57137744e-05,83.5,28.5
2021-11-03 20:19:29,dmged,375,2.56877793e-05,82.75,28.75
2021-11-03 20:20:19,dmged,375,2.57211996e-05,81.75,28.25
2021-11-03 20:21:09,dmged,375,2.56135154e-05,81.0,28.75
2021-11-03 20:21:59,dmged,375,2.57731863e-05,80.25,29.0
2021-11-03 20:22:49,dmged,375,2.5680356e-05,79.5,28.75
2021-11-03 20:23:39,dmged,375,2.57768988e-05,81.5,29.0
2021-11-03 20:24:29,dmged,375,2.57471947e-05,83.75,28.75
2021-11-03 20:25:19,dmged,375,2.57100601e-05,82.5,29.25
2021-11-03 20:26:09,dmged,375,2.56914955e-05,81.75,29.25
2021-11-03 20:27:00,dmged,375,2.57137744e-05,81.0,29.0
2021-11-03 20:27:50,dmged,375,2.57954671e-05,80.0,28.75
2021-11-03 20:28:40,dmged,375,2.57360552e-05,79.25,28.75
2021-11-03 20:29:30,dmged,375,2.56766398e-05,83.0,29.0
2021-11-03 20:30:20,dmged,375,2.55243958e-05,83.5,29.25
2021-11-03 20:31:10,dmged,375,2.57249158e-05,82.5,28.5
2021-11-03 20:32:00,dmged,375,2.56395069e-05,81.5,29.0
2021-11-03 20:32:50,dmged,375,2.56395069e-05,80.75,29.25
2021-11-03 20:33:40,dmged,375,2.5702635e-05,80.0,29.0
2021-11-03 20:34:30,dmged,375,2.58288856e-05,79.25,29.25
